"","date","coicop","values"
"1",2019-01-01,"FOOD",0.36
"2",2019-02-01,"FOOD",0.44
"3",2019-03-01,"FOOD",0.34
"4",2019-04-01,"FOOD",0.29
"5",2019-05-01,"FOOD",0.29
"6",2019-06-01,"FOOD",0.3
"7",2019-07-01,"FOOD",0.37
"8",2019-08-01,"FOOD",0.4
"9",2019-09-01,"FOOD",0.29
"10",2019-10-01,"FOOD",0.29
"11",2019-11-01,"FOOD",0.37
"12",2019-12-01,"FOOD",0.38
"13",2020-01-01,"FOOD",0.4
"14",2020-02-01,"FOOD",0.41
"15",2020-03-01,"FOOD",0.46
"16",2020-04-01,"FOOD",0.67
"17",2020-05-01,"FOOD",0.64
"18",2020-06-01,"FOOD",0.6
"19",2020-07-01,"FOOD",0.38
"20",2020-08-01,"FOOD",0.33
"21",2020-09-01,"FOOD",0.34
"22",2020-10-01,"FOOD",0.38
"23",2020-11-01,"FOOD",0.36
"24",2020-12-01,"FOOD",0.25
"25",2021-01-01,"FOOD",0.3
"26",2021-02-01,"FOOD",0.29
"27",2021-03-01,"FOOD",0.24
"28",2021-04-01,"FOOD",0.16
"29",2021-05-01,"FOOD",0.15
"30",2021-06-01,"FOOD",0.15
"31",2021-07-01,"FOOD",0.35
"32",2021-08-01,"FOOD",0.43
"33",2021-09-01,"FOOD",0.44
"34",2021-10-01,"FOOD",0.43
"35",2021-11-01,"FOOD",0.49
"36",2021-12-01,"FOOD",0.71
"37",2022-01-01,"FOOD",0.77
"38",2022-02-01,"FOOD",0.9
"39",2022-03-01,"FOOD",1.07
"40",2022-04-01,"FOOD",1.35
"41",2022-05-01,"FOOD",1.59
"42",2022-06-01,"FOOD",1.88
"43",2022-07-01,"FOOD",2.08
"44",2022-08-01,"FOOD",2.25
"45",2022-09-01,"FOOD",2.47
"46",2022-10-01,"FOOD",2.74
"47",2022-11-01,"FOOD",2.84
"48",2022-12-01,"FOOD",2.88
"49",2023-01-01,"FOOD",2.94
"50",2023-02-01,"FOOD",3.1
"51",2023-03-01,"FOOD",3.12
"52",2023-04-01,"FOOD",2.75
"53",2023-05-01,"FOOD",2.54
"54",2023-06-01,"FOOD",2.35
"55",2023-07-01,"FOOD",2.2
"56",2023-08-01,"FOOD",1.98
"57",2023-09-01,"FOOD",1.78
"58",2023-10-01,"FOOD",1.48
"59",2023-11-01,"FOOD",1.37
"60",2023-12-01,"FOOD",1.21
"61",2024-01-01,"FOOD",1.13
"62",2024-02-01,"FOOD",0.79
"63",2024-03-01,"FOOD",0.53
"64",2024-04-01,"FOOD",0.55
"65",2024-05-01,"FOOD",0.51
"66",2024-06-01,"FOOD",0.48
"67",2024-07-01,"FOOD",0.45
"68",2024-08-01,"FOOD",0.46
"69",2024-09-01,"FOOD",0.47
"70",2024-10-01,"FOOD",0.56
"71",2024-11-01,"FOOD",0.53
"72",2024-12-01,"FOOD",0.51
"73",2025-01-01,"FOOD",0.45
"74",2025-02-01,"FOOD",0.52
"75",2025-03-01,"FOOD",0.57
"76",2025-04-01,"FOOD",0.57
"77",2025-05-01,"FOOD",0.62
"78",2025-06-01,"FOOD",0.59
"79",2019-01-01,"IGD_NNRG",0.08
"80",2019-02-01,"IGD_NNRG",0.09
"81",2019-03-01,"IGD_NNRG",0.04
"82",2019-04-01,"IGD_NNRG",0.06
"83",2019-05-01,"IGD_NNRG",0.08
"84",2019-06-01,"IGD_NNRG",0.07
"85",2019-07-01,"IGD_NNRG",0.08
"86",2019-08-01,"IGD_NNRG",0.08
"87",2019-09-01,"IGD_NNRG",0.06
"88",2019-10-01,"IGD_NNRG",0.07
"89",2019-11-01,"IGD_NNRG",0.1
"90",2019-12-01,"IGD_NNRG",0.12
"91",2020-01-01,"IGD_NNRG",0.08
"92",2020-02-01,"IGD_NNRG",0.13
"93",2020-03-01,"IGD_NNRG",0.13
"94",2020-04-01,"IGD_NNRG",0.09
"95",2020-05-01,"IGD_NNRG",0.06
"96",2020-06-01,"IGD_NNRG",0.05
"97",2020-07-01,"IGD_NNRG",0.42
"98",2020-08-01,"IGD_NNRG",-0.03
"99",2020-09-01,"IGD_NNRG",-0.08
"100",2020-10-01,"IGD_NNRG",-0.03
"101",2020-11-01,"IGD_NNRG",-0.07
"102",2020-12-01,"IGD_NNRG",-0.14
"103",2021-01-01,"IGD_NNRG",0.37
"104",2021-02-01,"IGD_NNRG",0.26
"105",2021-03-01,"IGD_NNRG",0.09
"106",2021-04-01,"IGD_NNRG",0.12
"107",2021-05-01,"IGD_NNRG",0.19
"108",2021-06-01,"IGD_NNRG",0.31
"109",2021-07-01,"IGD_NNRG",0.17
"110",2021-08-01,"IGD_NNRG",0.65
"111",2021-09-01,"IGD_NNRG",0.57
"112",2021-10-01,"IGD_NNRG",0.55
"113",2021-11-01,"IGD_NNRG",0.64
"114",2021-12-01,"IGD_NNRG",0.78
"115",2022-01-01,"IGD_NNRG",0.56
"116",2022-02-01,"IGD_NNRG",0.81
"117",2022-03-01,"IGD_NNRG",0.9
"118",2022-04-01,"IGD_NNRG",1.02
"119",2022-05-01,"IGD_NNRG",1.13
"120",2022-06-01,"IGD_NNRG",1.15
"121",2022-07-01,"IGD_NNRG",1.16
"122",2022-08-01,"IGD_NNRG",1.33
"123",2022-09-01,"IGD_NNRG",1.47
"124",2022-10-01,"IGD_NNRG",1.62
"125",2022-11-01,"IGD_NNRG",1.63
"126",2022-12-01,"IGD_NNRG",1.7
"127",2023-01-01,"IGD_NNRG",1.73
"128",2023-02-01,"IGD_NNRG",1.74
"129",2023-03-01,"IGD_NNRG",1.71
"130",2023-04-01,"IGD_NNRG",1.62
"131",2023-05-01,"IGD_NNRG",1.51
"132",2023-06-01,"IGD_NNRG",1.42
"133",2023-07-01,"IGD_NNRG",1.26
"134",2023-08-01,"IGD_NNRG",1.19
"135",2023-09-01,"IGD_NNRG",1.06
"136",2023-10-01,"IGD_NNRG",0.9
"137",2023-11-01,"IGD_NNRG",0.75
"138",2023-12-01,"IGD_NNRG",0.66
"139",2024-01-01,"IGD_NNRG",0.53
"140",2024-02-01,"IGD_NNRG",0.42
"141",2024-03-01,"IGD_NNRG",0.3
"142",2024-04-01,"IGD_NNRG",0.23
"143",2024-05-01,"IGD_NNRG",0.18
"144",2024-06-01,"IGD_NNRG",0.17
"145",2024-07-01,"IGD_NNRG",0.19
"146",2024-08-01,"IGD_NNRG",0.11
"147",2024-09-01,"IGD_NNRG",0.12
"148",2024-10-01,"IGD_NNRG",0.13
"149",2024-11-01,"IGD_NNRG",0.17
"150",2024-12-01,"IGD_NNRG",0.13
"151",2025-01-01,"IGD_NNRG",0.12
"152",2025-02-01,"IGD_NNRG",0.14
"153",2025-03-01,"IGD_NNRG",0.16
"154",2025-04-01,"IGD_NNRG",0.15
"155",2025-05-01,"IGD_NNRG",0.16
"156",2025-06-01,"IGD_NNRG",0.13
"157",2019-01-01,"NRG",0.26
"158",2019-02-01,"NRG",0.35
"159",2019-03-01,"NRG",0.52
"160",2019-04-01,"NRG",0.51
"161",2019-05-01,"NRG",0.38
"162",2019-06-01,"NRG",0.17
"163",2019-07-01,"NRG",0.05
"164",2019-08-01,"NRG",-0.06
"165",2019-09-01,"NRG",-0.18
"166",2019-10-01,"NRG",-0.32
"167",2019-11-01,"NRG",-0.33
"168",2019-12-01,"NRG",0.02
"169",2020-01-01,"NRG",0.19
"170",2020-02-01,"NRG",-0.03
