coicop,date,weighted_yes_no,values
Core inflation,2025-07-01,Unweighted,0.011172205772280683
Headline inflation,2025-07-01,Unweighted,0.013043550533743325
Core inflation,2025-07-01,Weighted,0.006071309974329193
Headline inflation,2025-07-01,Weighted,0.008287283245088829
Core inflation,2025-06-01,Unweighted,0.01409404502842097
Headline inflation,2025-06-01,Unweighted,0.012023113704772768
Core inflation,2025-06-01,Weighted,0.006553283016741627
Headline inflation,2025-06-01,Weighted,0.00768882502788466
Core inflation,2025-05-01,Unweighted,0.01276621775583801
Headline inflation,2025-05-01,Unweighted,0.011570720761792172
Core inflation,2025-05-01,Weighted,0.00715533939080301
Headline inflation,2025-05-01,Weighted,0.008165536143055417
Core inflation,2025-04-01,Unweighted,0.010449880382090505
Headline inflation,2025-04-01,Unweighted,0.01015290987586162
Core inflation,2025-04-01,Weighted,0.007129059917601615
Headline inflation,2025-04-01,Weighted,0.008418306304502679
Core inflation,2025-03-01,Unweighted,0.011664047325006872
Headline inflation,2025-03-01,Unweighted,0.010081118359012608
Core inflation,2025-03-01,Weighted,0.006674408478731834
Headline inflation,2025-03-01,Weighted,0.008041512202724957
Core inflation,2025-02-01,Unweighted,0.011527883815477927
Headline inflation,2025-02-01,Unweighted,0.011807223480386465
Core inflation,2025-02-01,Weighted,0.007771731874375376
Headline inflation,2025-02-01,Weighted,0.009741929834690405
Core inflation,2025-01-01,Unweighted,0.012618282475502715
Headline inflation,2025-01-01,Unweighted,0.009500554000466998
Core inflation,2025-01-01,Weighted,0.008745117663648508
Headline inflation,2025-01-01,Weighted,0.007365931997977191
Core inflation,2024-12-01,Unweighted,0.01057541836922826
Headline inflation,2024-12-01,Unweighted,0.010448369301122142
Core inflation,2024-12-01,Weighted,0.007532753784564608
Headline inflation,2024-12-01,Weighted,0.008385713720146556
Core inflation,2024-11-01,Unweighted,0.009932800527333138
Headline inflation,2024-11-01,Unweighted,0.011224503271156837
Core inflation,2024-11-01,Weighted,0.00647894636364104
Headline inflation,2024-11-01,Weighted,0.008304930949407102
Core inflation,2024-10-01,Unweighted,0.01166314483183764
Headline inflation,2024-10-01,Unweighted,0.0135125672499422
Core inflation,2024-10-01,Weighted,0.006972261734558127
Headline inflation,2024-10-01,Weighted,0.008874230392612507
Core inflation,2024-09-01,Unweighted,0.009374657888494693
Headline inflation,2024-09-01,Unweighted,0.011486720021054978
Core inflation,2024-09-01,Weighted,0.006374966669950347
Headline inflation,2024-09-01,Weighted,0.008755666033407127
Core inflation,2024-08-01,Unweighted,0.00887041208323017
Headline inflation,2024-08-01,Unweighted,0.009879670780792348
Core inflation,2024-08-01,Weighted,0.004928053405401381
Headline inflation,2024-08-01,Weighted,0.007250107684190903
Core inflation,2024-07-01,Unweighted,0.00882147499302875
Headline inflation,2024-07-01,Unweighted,0.011219813301758448
Core inflation,2024-07-01,Weighted,0.0055757421243314235
Headline inflation,2024-07-01,Weighted,0.008177858113487263
Core inflation,2024-06-01,Unweighted,0.00839470384418527
Headline inflation,2024-06-01,Unweighted,0.011308590121067958
Core inflation,2024-06-01,Weighted,0.005496913947190682
Headline inflation,2024-06-01,Weighted,0.010351657382762324
Core inflation,2024-05-01,Unweighted,0.009003508088225214
Headline inflation,2024-05-01,Unweighted,0.01268691825215415
Core inflation,2024-05-01,Weighted,0.006354837960226264
Headline inflation,2024-05-01,Weighted,0.010621183851085061
Core inflation,2024-04-01,Unweighted,0.010728589449640962
Headline inflation,2024-04-01,Unweighted,0.011958150710751752
Core inflation,2024-04-01,Weighted,0.005459584735191769
Headline inflation,2024-04-01,Weighted,0.009619120255483437
Core inflation,2024-03-01,Unweighted,0.0093858796520147891
Headline inflation,2024-03-01,Unweighted,0.01233682975569707
Core inflation,2024-03-01,Weighted,0.006858617660638964
Headline inflation,2024-03-01,Weighted,0.008517515375095768
Core inflation,2024-02-01,Unweighted,0.009472397573448534
Headline inflation,2024-02-01,Unweighted,0.011709083293706105
Core inflation,2024-02-01,Weighted,0.0065146194199096
Headline inflation,2024-02-01,Weighted,0.009324480597428797
Core inflation,2024-01-01,Unweighted,0.009832679133754362
Headline inflation,2024-01-01,Unweighted,0.012655246467686622
Core inflation,2024-01-01,Weighted,0.006773206266580206
Headline inflation,2024-01-01,Weighted,0.010267949860150572
Core inflation,2023-12-01,Unweighted,0.012579327234960165
Headline inflation,2023-12-01,Unweighted,0.017698052227055353
Core inflation,2023-12-01,Weighted,0.007788653327615335
Headline inflation,2023-12-01,Weighted,0.01573325166473858
Core inflation,2023-11-01,Unweighted,0.013899166957241112
Headline inflation,2023-11-01,Unweighted,0.01841130945341677
Core inflation,2023-11-01,Weighted,0.008268942596929374
Headline inflation,2023-11-01,Weighted,0.01448996305095414
Core inflation,2023-10-01,Unweighted,0.014370565677618151
Headline inflation,2023-10-01,Unweighted,0.022875176156928852
Core inflation,2023-10-01,Weighted,0.008074145074484364
Headline inflation,2023-10-01,Weighted,0.01736754323433449
Core inflation,2023-09-01,Unweighted,0.016150199607695908
Headline inflation,2023-09-01,Unweighted,0.0215528725646832
Core inflation,2023-09-01,Weighted,0.009339791389127277
Headline inflation,2023-09-01,Weighted,0.01729135357555435
Core inflation,2023-08-01,Unweighted,0.019732153829139943
Headline inflation,2023-08-01,Unweighted,0.019650833650456022
Core inflation,2023-08-01,Weighted,0.013534855775642472
Headline inflation,2023-08-01,Weighted,0.015601771871667393
Core inflation,2023-07-01,Unweighted,0.02013448207481515
Headline inflation,2023-07-01,Unweighted,0.022048033687240325
Core inflation,2023-07-01,Weighted,0.012154397733358864
Headline inflation,2023-07-01,Weighted,0.016751711205008332
Core inflation,2023-06-01,Unweighted,0.02206688397624487
Headline inflation,2023-06-01,Unweighted,0.027744084243786386
Core inflation,2023-06-01,Weighted,0.013094232382862125
Headline inflation,2023-06-01,Weighted,0.019985637731927974
Core inflation,2023-05-01,Unweighted,0.02466720601591471
Headline inflation,2023-05-01,Unweighted,0.03119965418161925
Core inflation,2023-05-01,Weighted,0.014506350686014888
Headline inflation,2023-05-01,Weighted,0.018408507266569996
Core inflation,2023-04-01,Unweighted,0.02556410929820412
