coicop,date,variable,values
Headline inflation,2001-01-01,1-year inflation,0.01122222860888793
Headline inflation,2001-02-01,1-year inflation,0.010832185286944686
Headline inflation,2001-03-01,1-year inflation,0.010649372239754182
Headline inflation,2001-04-01,1-year inflation,0.010215673890437304
Headline inflation,2001-05-01,1-year inflation,0.009018286448281409
Headline inflation,2001-06-01,1-year inflation,0.009428602392325104
Headline inflation,2001-07-01,1-year inflation,0.009621894207018507
Headline inflation,2001-08-01,1-year inflation,0.009573742377595632
Headline inflation,2001-09-01,1-year inflation,0.01039529363304389
Headline inflation,2001-10-01,1-year inflation,0.009461911481165024
Headline inflation,2001-11-01,1-year inflation,0.009993553477606573
Headline inflation,2001-12-01,1-year inflation,0.010502352394407038
Headline inflation,2002-01-01,1-year inflation,0.009095545214674339
Headline inflation,2002-02-01,1-year inflation,0.008213552070576696
Headline inflation,2002-03-01,1-year inflation,0.008098999329655437
Headline inflation,2002-04-01,1-year inflation,0.009799725430668451
Headline inflation,2002-05-01,1-year inflation,0.010621272987121554
Headline inflation,2002-06-01,1-year inflation,0.010789687832319893
Headline inflation,2002-07-01,1-year inflation,0.009965317626270596
Headline inflation,2002-08-01,1-year inflation,0.010429014770822328
Headline inflation,2002-09-01,1-year inflation,0.010469669985322694
Headline inflation,2002-10-01,1-year inflation,0.010702796538842641
Headline inflation,2002-11-01,1-year inflation,0.010674454482784161
Headline inflation,2002-12-01,1-year inflation,0.01077602169623578
Headline inflation,2003-01-01,1-year inflation,0.010881274849232838
Headline inflation,2003-01-01,3-year inflation,0.009521155416699168
Headline inflation,2003-02-01,1-year inflation,0.010718107412346776
Headline inflation,2003-02-01,3-year inflation,0.008941284444202672
Headline inflation,2003-03-01,1-year inflation,0.010625033906090056
Headline inflation,2003-03-01,3-year inflation,0.008846581069811548
Headline inflation,2003-04-01,1-year inflation,0.010312452947371748
Headline inflation,2003-04-01,3-year inflation,0.009247975650323093
Headline inflation,2003-05-01,1-year inflation,0.010975773700700395
Headline inflation,2003-05-01,3-year inflation,0.00904458329259578
Headline inflation,2003-06-01,1-year inflation,0.009764423334760143
Headline inflation,2003-06-01,3-year inflation,0.00917037099029878
Headline inflation,2003-07-01,1-year inflation,0.010265570668802916
Headline inflation,2003-07-01,3-year inflation,0.00862150871045083
Headline inflation,2003-08-01,1-year inflation,0.009661734753083686
Headline inflation,2003-08-01,3-year inflation,0.008347811718759583
Headline inflation,2003-09-01,1-year inflation,0.00962359564887978
Headline inflation,2003-09-01,3-year inflation,0.008768507662883205
Headline inflation,2003-10-01,1-year inflation,0.008871950873480387
Headline inflation,2003-10-01,3-year inflation,0.008459782749758154
Headline inflation,2003-11-01,1-year inflation,0.00859395832120795
Headline inflation,2003-11-01,3-year inflation,0.008522614062914593
Headline inflation,2003-12-01,1-year inflation,0.008728573156104471
Headline inflation,2003-12-01,3-year inflation,0.00865403451518929
Headline inflation,2004-01-01,1-year inflation,0.007575007344827177
Headline inflation,2004-01-01,3-year inflation,0.008064518743015713
Headline inflation,2004-02-01,1-year inflation,0.008302271424482706
Headline inflation,2004-02-01,3-year inflation,0.008182766641792
Headline inflation,2004-03-01,1-year inflation,0.007732411926314339
Headline inflation,2004-03-01,3-year inflation,0.007770620522807748
Headline inflation,2004-04-01,1-year inflation,0.00706008621329658
Headline inflation,2004-04-01,3-year inflation,0.007908303981043238
Headline inflation,2004-05-01,1-year inflation,0.007073412751174893
Headline inflation,2004-05-01,3-year inflation,0.008195577629900638
Headline inflation,2004-06-01,1-year inflation,0.007751499461046005
Headline inflation,2004-06-01,3-year inflation,0.008291821816759566
Headline inflation,2004-07-01,1-year inflation,0.007524045372288738
Headline inflation,2004-07-01,3-year inflation,0.007997058288226697
Headline inflation,2004-08-01,1-year inflation,0.006619919355577779
Headline inflation,2004-08-01,3-year inflation,0.007656906218858805
Headline inflation,2004-09-01,1-year inflation,0.006547159366642147
Headline inflation,2004-09-01,3-year inflation,0.007736385030637851
Headline inflation,2004-10-01,1-year inflation,0.006637078650583366
Headline inflation,2004-10-01,3-year inflation,0.007463081672543971
Headline inflation,2004-11-01,1-year inflation,0.006858704239473846
Headline inflation,2004-11-01,3-year inflation,0.007595434148231229
Headline inflation,2004-12-01,1-year inflation,0.006051474476529694
Headline inflation,2004-12-01,3-year inflation,0.007248592132158055
Headline inflation,2005-01-01,1-year inflation,0.006971679963501909
Headline inflation,2005-01-01,3-year inflation,0.007398578226423044
Headline inflation,2005-02-01,1-year inflation,0.006020635798769395
Headline inflation,2005-02-01,3-year inflation,0.00734036532910233
Headline inflation,2005-03-01,1-year inflation,0.005842009085284455
Headline inflation,2005-03-01,3-year inflation,0.00709139937978219
Headline inflation,2005-04-01,1-year inflation,0.006958988122766132
Headline inflation,2005-04-01,3-year inflation,0.007091895371241586
Headline inflation,2005-05-01,1-year inflation,0.006126850227885306
Headline inflation,2005-05-01,3-year inflation,0.006873752809161259
Headline inflation,2005-06-01,1-year inflation,0.006104948530961341
Headline inflation,2005-06-01,3-year inflation,0.006800192361611336
Headline inflation,2005-07-01,1-year inflation,0.00611779962992167
Headline inflation,2005-07-01,3-year inflation,0.0068935714589370796
Headline inflation,2005-08-01,1-year inflation,0.005691328181173542
Headline inflation,2005-08-01,3-year inflation,0.006324869503056638
Headline inflation,2005-09-01,1-year inflation,0.006165753643812713
Headline inflation,2005-09-01,3-year inflation,0.006140654180333112
Headline inflation,2005-10-01,1-year inflation,0.006148305109472099
Headline inflation,2005-10-01,3-year inflation,0.006190490998106854
Headline inflation,2005-11-01,1-year inflation,0.006102193165670358
Headline inflation,2005-11-01,3-year inflation,0.00620902641609651
Headline inflation,2005-12-01,1-year inflation,0.006873041355283182
Headline inflation,2005-12-01,3-year inflation,0.006072776424973932
Headline inflation,2006-01-01,1-year inflation,0.007748060952991024
Headline inflation,2006-01-01,3-year inflation,0.0063043525378025855
Headline inflation,2006-02-01,1-year inflation,0.007673575663180577
Headline inflation,2006-02-01,3-year inflation,0.0062227232657740324
Headline inflation,2006-03-01,1-year inflation,0.008107688670234852
Headline inflation,2006-03-01,3-year inflation,0.006227613305062903
Headline inflation,2006-04-01,1-year inflation,0.00685934773209073
Headline inflation,2006-04-01,3-year inflation,0.006185010675731323
Headline inflation,2006-05-01,1-year inflation,0.00734331234780669
Headline inflation,2006-05-01,3-year inflation,0.006208704781245277
Headline inflation,2006-06-01,1-year inflation,0.006970841115175394
Headline inflation,2006-06-01,3-year inflation,0.006297883947024802
Headline inflation,2006-07-01,1-year inflation,0.007371007327831765
Headline inflation,2006-07-01,3-year inflation,0.006488668119886117
Headline inflation,2006-08-01,1-year inflation,0.0071928562456715205
Headline inflation,2006-08-01,3-year inflation,0.006038188479801995
Headline inflation,2006-09-01,1-year inflation,0.008147797600608792
Headline inflation,2006-09-01,3-year inflation,0.00608010886486134
Headline inflation,2006-10-01,1-year inflation,0.006339489140061934
Headline inflation,2006-10-01,3-year inflation,0.005923565907503509
Headline inflation,2006-11-01,1-year inflation,0.005244260808006835
Headline inflation,2006-11-01,3-year inflation,0.0057250296129086305
Headline inflation,2006-12-01,1-year inflation,0.005863732471375941
Headline inflation,2006-12-01,3-year inflation,0.00571997951266443
Headline inflation,2007-01-01,1-year inflation,0.005175887366809691
Headline inflation,2007-01-01,3-year inflation,0.006209884663001519
Headline inflation,2007-02-01,1-year inflation,0.005508419100019738
Headline inflation,2007-02-01,3-year inflation,0.00601151472419921
Headline inflation,2007-03-01,1-year inflation,0.005534370004963899
Headline inflation,2007-03-01,3-year inflation,0.005930009764031751
Headline inflation,2007-04-01,1-year inflation,0.0055117308817482094
Headline inflation,2007-04-01,3-year inflation,0.005822279591231207
Headline inflation,2007-05-01,1-year inflation,0.005617901558443043
Headline inflation,2007-05-01,3-year inflation,0.005596032951993801
Headline inflation,2007-06-01,1-year inflation,0.005598315640282886
Headline inflation,2007-06-01,3-year inflation,0.005471595505002255
Headline inflation,2007-07-01,1-year inflation,0.006180942759349583
Headline inflation,2007-07-01,3-year inflation,0.005873004103307303
Headline inflation,2007-08-01,1-year inflation,0.0061157114171482806
Headline inflation,2007-08-01,3-year inflation,0.005662340278347344
Headline inflation,2007-09-01,1-year inflation,0.007537371447909071
Headline inflation,2007-09-01,3-year inflation,0.005783609208940459
Headline inflation,2007-10-01,1-year inflation,0.00787697359812366
Headline inflation,2007-10-01,3-year inflation,0.006170374723923002
Headline inflation,2007-11-01,1-year inflation,0.008553237712861454
Headline inflation,2007-11-01,3-year inflation,0.00609094137833898
Headline inflation,2007-12-01,1-year inflation,0.00880619542939831
Headline inflation,2007-12-01,3-year inflation,0.006525129403551153
Headline inflation,2008-01-01,1-year inflation,0.010014965309173559
Headline inflation,2008-01-01,3-year inflation,0.0070707871849280644
Headline inflation,2008-02-01,1-year inflation,0.010700575386149533
Headline inflation,2008-02-01,3-year inflation,0.007275638473309668
Headline inflation,2008-03-01,1-year inflation,0.01047961745285951
Headline inflation,2008-03-01,3-year inflation,0.007206001371658646
Headline inflation,2008-04-01,1-year inflation,0.011620585053953782
Headline inflation,2008-04-01,3-year inflation,0.007061429820824135
Headline inflation,2008-05-01,1-year inflation,0.011561863810133289
Headline inflation,2008-05-01,3-year inflation,0.007144002988715372
Headline inflation,2008-06-01,1-year inflation,0.011895773907620392
Headline inflation,2008-06-01,3-year inflation,0.0072095102991811145
Headline inflation,2008-07-01,1-year inflation,0.011762867615822372
Headline inflation,2008-07-01,3-year inflation,0.0074477382343209565
Headline inflation,2008-08-01,1-year inflation,0.010981201907677445
Headline inflation,2008-08-01,3-year inflation,0.007340247632165361
Headline inflation,2008-09-01,1-year inflation,0.01043076376545148
