coicop,date,variable,values
Inflation globale,2001-01-01,Inflation sur 1 an,0.01122222860888793
Inflation globale,2001-02-01,Inflation sur 1 an,0.010832185286944686
Inflation globale,2001-03-01,Inflation sur 1 an,0.010649372239754182
Inflation globale,2001-04-01,Inflation sur 1 an,0.010215673890437304
Inflation globale,2001-05-01,Inflation sur 1 an,0.009018286448281409
Inflation globale,2001-06-01,Inflation sur 1 an,0.009428602392325104
Inflation globale,2001-07-01,Inflation sur 1 an,0.009621894207018507
Inflation globale,2001-08-01,Inflation sur 1 an,0.009573742377595632
Inflation globale,2001-09-01,Inflation sur 1 an,0.01039529363304389
Inflation globale,2001-10-01,Inflation sur 1 an,0.009461911481165024
Inflation globale,2001-11-01,Inflation sur 1 an,0.009993553477606573
Inflation globale,2001-12-01,Inflation sur 1 an,0.010502352394407038
Inflation globale,2002-01-01,Inflation sur 1 an,0.009095545214674339
Inflation globale,2002-02-01,Inflation sur 1 an,0.008213552070576696
Inflation globale,2002-03-01,Inflation sur 1 an,0.008098999329655437
Inflation globale,2002-04-01,Inflation sur 1 an,0.009799725430668451
Inflation globale,2002-05-01,Inflation sur 1 an,0.010621272987121554
Inflation globale,2002-06-01,Inflation sur 1 an,0.010789687832319893
Inflation globale,2002-07-01,Inflation sur 1 an,0.009965317626270596
Inflation globale,2002-08-01,Inflation sur 1 an,0.010429014770822328
Inflation globale,2002-09-01,Inflation sur 1 an,0.010469669985322694
Inflation globale,2002-10-01,Inflation sur 1 an,0.010702796538842641
Inflation globale,2002-11-01,Inflation sur 1 an,0.010674454482784161
Inflation globale,2002-12-01,Inflation sur 1 an,0.01077602169623578
Inflation globale,2003-01-01,Inflation sur 1 an,0.010881274849232838
Inflation globale,2003-01-01,Inflation sur 3 ans,0.009521155416699168
Inflation globale,2003-02-01,Inflation sur 1 an,0.010718107412346776
Inflation globale,2003-02-01,Inflation sur 3 ans,0.008941284444202672
Inflation globale,2003-03-01,Inflation sur 1 an,0.010625033906090056
Inflation globale,2003-03-01,Inflation sur 3 ans,0.008846581069811548
Inflation globale,2003-04-01,Inflation sur 1 an,0.010312452947371748
Inflation globale,2003-04-01,Inflation sur 3 ans,0.009247975650323093
Inflation globale,2003-05-01,Inflation sur 1 an,0.010975773700700395
Inflation globale,2003-05-01,Inflation sur 3 ans,0.00904458329259578
Inflation globale,2003-06-01,Inflation sur 1 an,0.009764423334760143
Inflation globale,2003-06-01,Inflation sur 3 ans,0.00917037099029878
Inflation globale,2003-07-01,Inflation sur 1 an,0.010265570668802916
Inflation globale,2003-07-01,Inflation sur 3 ans,0.00862150871045083
Inflation globale,2003-08-01,Inflation sur 1 an,0.009661734753083686
Inflation globale,2003-08-01,Inflation sur 3 ans,0.008347811718759583
Inflation globale,2003-09-01,Inflation sur 1 an,0.00962359564887978
Inflation globale,2003-09-01,Inflation sur 3 ans,0.008768507662883205
Inflation globale,2003-10-01,Inflation sur 1 an,0.008871950873480387
Inflation globale,2003-10-01,Inflation sur 3 ans,0.008459782749758154
Inflation globale,2003-11-01,Inflation sur 1 an,0.00859395832120795
Inflation globale,2003-11-01,Inflation sur 3 ans,0.008522614062914593
Inflation globale,2003-12-01,Inflation sur 1 an,0.008728573156104471
Inflation globale,2003-12-01,Inflation sur 3 ans,0.00865403451518929
Inflation globale,2004-01-01,Inflation sur 1 an,0.007575007344827177
Inflation globale,2004-01-01,Inflation sur 3 ans,0.008064518743015713
Inflation globale,2004-02-01,Inflation sur 1 an,0.008302271424482706
Inflation globale,2004-02-01,Inflation sur 3 ans,0.008182766641792
Inflation globale,2004-03-01,Inflation sur 1 an,0.007732411926314339
Inflation globale,2004-03-01,Inflation sur 3 ans,0.007770620522807748
Inflation globale,2004-04-01,Inflation sur 1 an,0.00706008621329658
Inflation globale,2004-04-01,Inflation sur 3 ans,0.007908303981043238
Inflation globale,2004-05-01,Inflation sur 1 an,0.007073412751174893
Inflation globale,2004-05-01,Inflation sur 3 ans,0.008195577629900638
Inflation globale,2004-06-01,Inflation sur 1 an,0.007751499461046005
Inflation globale,2004-06-01,Inflation sur 3 ans,0.008291821816759566
Inflation globale,2004-07-01,Inflation sur 1 an,0.007524045372288738
Inflation globale,2004-07-01,Inflation sur 3 ans,0.007997058288226697
Inflation globale,2004-08-01,Inflation sur 1 an,0.006619919355577779
Inflation globale,2004-08-01,Inflation sur 3 ans,0.007656906218858811
Inflation globale,2004-09-01,Inflation sur 1 an,0.006547159366642147
Inflation globale,2004-09-01,Inflation sur 3 ans,0.007736385030637851
Inflation globale,2004-10-01,Inflation sur 1 an,0.006637078650583366
Inflation globale,2004-10-01,Inflation sur 3 ans,0.007463081672543971
Inflation globale,2004-11-01,Inflation sur 1 an,0.006858704239473846
Inflation globale,2004-11-01,Inflation sur 3 ans,0.007595434148231229
Inflation globale,2004-12-01,Inflation sur 1 an,0.006051474476529694
Inflation globale,2004-12-01,Inflation sur 3 ans,0.007248592132158055
Inflation globale,2005-01-01,Inflation sur 1 an,0.006971679963501909
Inflation globale,2005-01-01,Inflation sur 3 ans,0.007398578226423044
Inflation globale,2005-02-01,Inflation sur 1 an,0.006020635798769395
Inflation globale,2005-02-01,Inflation sur 3 ans,0.00734036532910233
Inflation globale,2005-03-01,Inflation sur 1 an,0.005842009085284455
Inflation globale,2005-03-01,Inflation sur 3 ans,0.00709139937978219
Inflation globale,2005-04-01,Inflation sur 1 an,0.006958988122766132
Inflation globale,2005-04-01,Inflation sur 3 ans,0.007091895371241586
Inflation globale,2005-05-01,Inflation sur 1 an,0.006126850227885306
Inflation globale,2005-05-01,Inflation sur 3 ans,0.006873752809161259
Inflation globale,2005-06-01,Inflation sur 1 an,0.006104948530961341
Inflation globale,2005-06-01,Inflation sur 3 ans,0.006800192361611336
Inflation globale,2005-07-01,Inflation sur 1 an,0.00611779962992167
Inflation globale,2005-07-01,Inflation sur 3 ans,0.0068935714589370796
Inflation globale,2005-08-01,Inflation sur 1 an,0.005691328181173542
Inflation globale,2005-08-01,Inflation sur 3 ans,0.006324869503056638
Inflation globale,2005-09-01,Inflation sur 1 an,0.006165753643812713
Inflation globale,2005-09-01,Inflation sur 3 ans,0.006140654180333112
Inflation globale,2005-10-01,Inflation sur 1 an,0.006148305109472099
Inflation globale,2005-10-01,Inflation sur 3 ans,0.006190490998106854
Inflation globale,2005-11-01,Inflation sur 1 an,0.006102193165670358
Inflation globale,2005-11-01,Inflation sur 3 ans,0.00620902641609651
Inflation globale,2005-12-01,Inflation sur 1 an,0.006873041355283182
Inflation globale,2005-12-01,Inflation sur 3 ans,0.006072776424973892
Inflation globale,2006-01-01,Inflation sur 1 an,0.007748060952991024
Inflation globale,2006-01-01,Inflation sur 3 ans,0.0063043525378025855
Inflation globale,2006-02-01,Inflation sur 1 an,0.007673575663180577
Inflation globale,2006-02-01,Inflation sur 3 ans,0.0062227232657740324
Inflation globale,2006-03-01,Inflation sur 1 an,0.008107688670234852
Inflation globale,2006-03-01,Inflation sur 3 ans,0.006227613305062903
Inflation globale,2006-04-01,Inflation sur 1 an,0.00685934773209073
Inflation globale,2006-04-01,Inflation sur 3 ans,0.006185010675731323
Inflation globale,2006-05-01,Inflation sur 1 an,0.00734331234780669
Inflation globale,2006-05-01,Inflation sur 3 ans,0.006208704781245277
Inflation globale,2006-06-01,Inflation sur 1 an,0.006970841115175394
Inflation globale,2006-06-01,Inflation sur 3 ans,0.006297883947024802
Inflation globale,2006-07-01,Inflation sur 1 an,0.007371007327831765
Inflation globale,2006-07-01,Inflation sur 3 ans,0.006488668119886117
Inflation globale,2006-08-01,Inflation sur 1 an,0.0071928562456715205
Inflation globale,2006-08-01,Inflation sur 3 ans,0.006038188479801995
Inflation globale,2006-09-01,Inflation sur 1 an,0.008147797600608792
Inflation globale,2006-09-01,Inflation sur 3 ans,0.006080108864861341
Inflation globale,2006-10-01,Inflation sur 1 an,0.006339489140061934
Inflation globale,2006-10-01,Inflation sur 3 ans,0.005923565907503509
Inflation globale,2006-11-01,Inflation sur 1 an,0.005244260808006835
Inflation globale,2006-11-01,Inflation sur 3 ans,0.0057250296129086305
Inflation globale,2006-12-01,Inflation sur 1 an,0.005863732471375941
Inflation globale,2006-12-01,Inflation sur 3 ans,0.00571997951266443
Inflation globale,2007-01-01,Inflation sur 1 an,0.005175887366809691
Inflation globale,2007-01-01,Inflation sur 3 ans,0.006209884663001519
Inflation globale,2007-02-01,Inflation sur 1 an,0.005508419100019738
Inflation globale,2007-02-01,Inflation sur 3 ans,0.00601151472419921
Inflation globale,2007-03-01,Inflation sur 1 an,0.005534370004963899
Inflation globale,2007-03-01,Inflation sur 3 ans,0.005930009764031751
Inflation globale,2007-04-01,Inflation sur 1 an,0.0055117308817482094
Inflation globale,2007-04-01,Inflation sur 3 ans,0.005822279591231207
Inflation globale,2007-05-01,Inflation sur 1 an,0.005617901558443043
Inflation globale,2007-05-01,Inflation sur 3 ans,0.005596032951993801
Inflation globale,2007-06-01,Inflation sur 1 an,0.005598315640282886
Inflation globale,2007-06-01,Inflation sur 3 ans,0.005471595505002255
Inflation globale,2007-07-01,Inflation sur 1 an,0.006180942759349583
