date,value,Variable
2003-01-01,730.994,Réserve Fédérale
2003-01-08,723.762,Réserve Fédérale
2003-01-15,720.074,Réserve Fédérale
2003-01-22,735.953,Réserve Fédérale
2003-01-29,712.809,Réserve Fédérale
2003-02-05,719.643,Réserve Fédérale
2003-02-12,713.281,Réserve Fédérale
2003-02-19,730.4,Réserve Fédérale
2003-02-26,721.98,Réserve Fédérale
2003-03-05,722.649,Réserve Fédérale
2003-03-12,717.014,Réserve Fédérale
2003-03-19,729.923,Réserve Fédérale
2003-03-26,725.019,Réserve Fédérale
2003-04-02,732.452,Réserve Fédérale
2003-04-09,727.826,Réserve Fédérale
2003-04-16,745.838,Réserve Fédérale
2003-04-23,732.222,Réserve Fédérale
2003-04-30,746.294,Réserve Fédérale
2003-05-07,733.466,Réserve Fédérale
2003-05-14,740.371,Réserve Fédérale
2003-05-21,734.699,Réserve Fédérale
2003-05-28,744.896,Réserve Fédérale
2003-06-04,731.667,Réserve Fédérale
2003-06-11,743.236,Réserve Fédérale
2003-06-18,735.926,Réserve Fédérale
2003-06-25,744.018,Réserve Fédérale
2003-07-02,740.126,Réserve Fédérale
2003-07-09,744.43,Réserve Fédérale
2003-07-16,737.765,Réserve Fédérale
2003-07-23,745.665,Réserve Fédérale
2003-07-30,740.295,Réserve Fédérale
2003-08-06,734.018,Réserve Fédérale
2003-08-13,735.386,Réserve Fédérale
2003-08-20,750.825,Réserve Fédérale
2003-08-27,740.637,Réserve Fédérale
2003-09-03,750.461,Réserve Fédérale
2003-09-10,737.234,Réserve Fédérale
2003-09-17,743.939,Réserve Fédérale
2003-09-24,741.193,Réserve Fédérale
2003-10-01,753.155,Réserve Fédérale
2003-10-08,737.108,Réserve Fédérale
2003-10-15,754.229,Réserve Fédérale
2003-10-22,743.578,Réserve Fédérale
2003-10-29,747.272,Réserve Fédérale
2003-11-05,744.116,Réserve Fédérale
2003-11-12,745.604,Réserve Fédérale
2003-11-19,744.521,Réserve Fédérale
2003-11-26,756.964,Réserve Fédérale
2003-12-03,749.981,Réserve Fédérale
2003-12-10,756.585,Réserve Fédérale
2003-12-17,753.919,Réserve Fédérale
2003-12-24,767.012,Réserve Fédérale
2003-12-31,771.551,Réserve Fédérale
2004-01-07,755.829,Réserve Fédérale
2004-01-14,752.812,Réserve Fédérale
2004-01-21,775.833,Réserve Fédérale
2004-01-28,755.279,Réserve Fédérale
2004-02-04,754.153,Réserve Fédérale
2004-02-11,750.999,Réserve Fédérale
2004-02-18,758.759,Réserve Fédérale
2004-02-25,750.666,Réserve Fédérale
2004-03-03,754.867,Réserve Fédérale
