date,OBS_VALUE,Data_type_fm
2025-09-10,1.8990681287,"Taux spot, échéance à 1 an"
2025-09-10,2.7348570644,"Taux spot, échéance à 10 ans"
2025-09-09,1.8859993831,"Taux spot, échéance à 1 an"
2025-09-09,2.7373998786,"Taux spot, échéance à 10 ans"
2025-09-08,1.884473212,"Taux spot, échéance à 1 an"
2025-09-08,2.7205978036,"Taux spot, échéance à 10 ans"
2025-09-05,1.8795806864,"Taux spot, échéance à 1 an"
2025-09-05,2.7458304046,"Taux spot, échéance à 10 ans"
2025-09-04,1.9021238811,"Taux spot, échéance à 1 an"
2025-09-04,2.7879763494,"Taux spot, échéance à 10 ans"
2025-09-03,1.9045182146,"Taux spot, échéance à 1 an"
2025-09-03,2.8209325207,"Taux spot, échéance à 10 ans"
2025-09-02,1.9187332772,"Taux spot, échéance à 1 an"
2025-09-02,2.8583592623,"Taux spot, échéance à 10 ans"
2025-09-01,1.9052665427,"Taux spot, échéance à 1 an"
2025-09-01,2.8201791164,"Taux spot, échéance à 10 ans"
2025-08-29,1.8985784267,"Taux spot, échéance à 1 an"
2025-08-29,2.7854844577,"Taux spot, échéance à 10 ans"
2025-08-28,1.8943486237,"Taux spot, échéance à 1 an"
2025-08-28,2.7720612195,"Taux spot, échéance à 10 ans"
2025-08-27,1.8803823537,"Taux spot, échéance à 1 an"
2025-08-27,2.7933292442,"Taux spot, échéance à 10 ans"
2025-08-26,1.8863992826,"Taux spot, échéance à 1 an"
2025-08-26,2.8030227277,"Taux spot, échéance à 10 ans"
2025-08-25,1.9097102111,"Taux spot, échéance à 1 an"
2025-08-25,2.8420172523,"Taux spot, échéance à 10 ans"
2025-08-22,1.900445115,"Taux spot, échéance à 1 an"
2025-08-22,2.8081443795,"Taux spot, échéance à 10 ans"
2025-08-21,1.8911379176,"Taux spot, échéance à 1 an"
2025-08-21,2.8212272687,"Taux spot, échéance à 10 ans"
2025-08-20,1.8687605642,"Taux spot, échéance à 1 an"
2025-08-20,2.7889950333,"Taux spot, échéance à 10 ans"
2025-08-19,1.883574917,"Taux spot, échéance à 1 an"
2025-08-19,2.8219995437,"Taux spot, échéance à 10 ans"
2025-08-18,1.8954243002,"Taux spot, échéance à 1 an"
2025-08-18,2.834415258,"Taux spot, échéance à 10 ans"
2025-08-15,1.8795434718,"Taux spot, échéance à 1 an"
2025-08-15,2.8430984141,"Taux spot, échéance à 10 ans"
2025-08-14,1.8861255198,"Taux spot, échéance à 1 an"
2025-08-14,2.7789766404,"Taux spot, échéance à 10 ans"
2025-08-13,1.8845194029,"Taux spot, échéance à 1 an"
2025-08-13,2.76065317,"Taux spot, échéance à 10 ans"
2025-08-12,1.9022564888,"Taux spot, échéance à 1 an"
2025-08-12,2.820188598,"Taux spot, échéance à 10 ans"
2025-08-11,1.8887225467,"Taux spot, échéance à 1 an"
2025-08-11,2.7613579972,"Taux spot, échéance à 10 ans"
2025-08-08,1.8879361513,"Taux spot, échéance à 1 an"
2025-08-08,2.7574342451,"Taux spot, échéance à 10 ans"
2025-08-07,1.8552863861,"Taux spot, échéance à 1 an"
2025-08-07,2.7076377195,"Taux spot, échéance à 10 ans"
2025-08-06,1.8493186002,"Taux spot, échéance à 1 an"
2025-08-06,2.7046173201,"Taux spot, échéance à 10 ans"
2025-08-05,1.8389911997,"Taux spot, échéance à 1 an"
2025-08-05,2.6947844576,"Taux spot, échéance à 10 ans"
2025-08-04,1.843099635,"Taux spot, échéance à 1 an"
2025-08-04,2.7031967398,"Taux spot, échéance à 10 ans"
2025-08-01,1.8403761799,"Taux spot, échéance à 1 an"
2025-08-01,2.7295290489,"Taux spot, échéance à 10 ans"
2025-07-31,1.8916052893,"Taux spot, échéance à 1 an"
2025-07-31,2.7630604692,"Taux spot, échéance à 10 ans"
2025-07-30,1.8802839914,"Taux spot, échéance à 1 an"
2025-07-30,2.7787227813,"Taux spot, échéance à 10 ans"
2025-07-29,1.8594865267,"Taux spot, échéance à 1 an"
2025-07-29,2.7686012088,"Taux spot, échéance à 10 ans"
2025-07-28,1.8475141096,"Taux spot, échéance à 1 an"
2025-07-28,2.7556048698,"Taux spot, échéance à 10 ans"
2025-07-25,1.8773968202,"Taux spot, échéance à 1 an"
2025-07-25,2.7933110223,"Taux spot, échéance à 10 ans"
2025-07-24,1.8404697904,"Taux spot, échéance à 1 an"
2025-07-24,2.7534798034,"Taux spot, échéance à 10 ans"
2025-07-23,1.778267175,"Taux spot, échéance à 1 an"
2025-07-23,2.6658356958,"Taux spot, échéance à 10 ans"
2025-07-22,1.7879284828,"Taux spot, échéance à 1 an"
2025-07-22,2.6601966254,"Taux spot, échéance à 10 ans"
2025-07-21,1.7865567662,"Taux spot, échéance à 1 an"
2025-07-21,2.6769365906,"Taux spot, échéance à 10 ans"
2025-07-18,1.7968504589,"Taux spot, échéance à 1 an"
2025-07-18,2.7570410604,"Taux spot, échéance à 10 ans"
2025-07-17,1.7872101933,"Taux spot, échéance à 1 an"
2025-07-17,2.7365670847,"Taux spot, échéance à 10 ans"
2025-07-16,1.7977992423,"Taux spot, échéance à 1 an"
2025-07-16,2.7466162704,"Taux spot, échéance à 10 ans"
2025-07-15,1.795890863,"Taux spot, échéance à 1 an"
2025-07-15,2.7456990225,"Taux spot, échéance à 10 ans"
2025-07-14,1.8089613652,"Taux spot, échéance à 1 an"
2025-07-14,2.7890655573,"Taux spot, échéance à 10 ans"
2025-07-11,1.8444278699,"Taux spot, échéance à 1 an"
2025-07-11,2.7876718173,"Taux spot, échéance à 10 ans"
2025-07-10,1.8120779889,"Taux spot, échéance à 1 an"
2025-07-10,2.7571538406,"Taux spot, échéance à 10 ans"
2025-07-09,1.8058006187,"Taux spot, échéance à 1 an"
2025-07-09,2.7333043321,"Taux spot, échéance à 10 ans"
2025-07-08,1.8221528642,"Taux spot, échéance à 1 an"
2025-07-08,2.7429858162,"Taux spot, échéance à 10 ans"
2025-07-07,1.7996116198,"Taux spot, échéance à 1 an"
2025-07-07,2.6964270831,"Taux spot, échéance à 10 ans"
2025-07-04,1.7932729532,"Taux spot, échéance à 1 an"
2025-07-04,2.6526768615,"Taux spot, échéance à 10 ans"
2025-07-03,1.7999276808,"Taux spot, échéance à 1 an"
2025-07-03,2.686838963,"Taux spot, échéance à 10 ans"
2025-07-02,1.8145465829,"Taux spot, échéance à 1 an"
2025-07-02,2.7236452829,"Taux spot, échéance à 10 ans"
2025-07-01,1.8022855702,"Taux spot, échéance à 1 an"
2025-07-01,2.6531743058,"Taux spot, échéance à 10 ans"
2025-06-30,1.8190520787,"Taux spot, échéance à 1 an"
2025-06-30,2.6791846244,"Taux spot, échéance à 10 ans"
2025-06-27,1.8207427255,"Taux spot, échéance à 1 an"
2025-06-27,2.6867694635,"Taux spot, échéance à 10 ans"
2025-06-26,1.8003273493,"Taux spot, échéance à 1 an"
2025-06-26,2.6578468297,"Taux spot, échéance à 10 ans"
2025-06-25,1.8224417926,"Taux spot, échéance à 1 an"
2025-06-25,2.6644491833,"Taux spot, échéance à 10 ans"
2025-06-24,1.8343516659,"Taux spot, échéance à 1 an"
2025-06-24,2.6498095606,"Taux spot, échéance à 10 ans"
2025-06-23,1.8401770376,"Taux spot, échéance à 1 an"
2025-06-23,2.6072978004,"Taux spot, échéance à 10 ans"
2025-06-20,1.8108967061,"Taux spot, échéance à 1 an"
2025-06-20,2.6142932126,"Taux spot, échéance à 10 ans"
2025-06-19,1.8011054907,"Taux spot, échéance à 1 an"
2025-06-19,2.6019696538,"Taux spot, échéance à 10 ans"
2025-06-18,1.8062054987,"Taux spot, échéance à 1 an"
2025-06-18,2.6011169546,"Taux spot, échéance à 10 ans"
2025-06-17,1.8135714699,"Taux spot, échéance à 1 an"
2025-06-17,2.6218424136,"Taux spot, échéance à 10 ans"
2025-06-16,1.8080402708,"Taux spot, échéance à 1 an"
2025-06-16,2.621503212,"Taux spot, échéance à 10 ans"
2025-06-13,1.808619571,"Taux spot, échéance à 1 an"
2025-06-13,2.6032135344,"Taux spot, échéance à 10 ans"
2025-06-12,1.7840063665,"Taux spot, échéance à 1 an"
2025-06-12,2.5777663314,"Taux spot, échéance à 10 ans"
2025-06-11,1.7834381171,"Taux spot, échéance à 1 an"
2025-06-11,2.6215127886,"Taux spot, échéance à 10 ans"
2025-06-10,1.8160571124,"Taux spot, échéance à 1 an"
2025-06-10,2.6167971377,"Taux spot, échéance à 10 ans"
2025-06-09,1.8280987868,"Taux spot, échéance à 1 an"
2025-06-09,2.6758380627,"Taux spot, échéance à 10 ans"
2025-06-06,1.8324916294,"Taux spot, échéance à 1 an"
2025-06-06,2.6594310994,"Taux spot, échéance à 10 ans"
2025-06-05,1.7841933674,"Taux spot, échéance à 1 an"
2025-06-05,2.6470041589,"Taux spot, échéance à 10 ans"
2025-06-04,1.7823238812,"Taux spot, échéance à 1 an"
2025-06-04,2.623401446,"Taux spot, échéance à 10 ans"
2025-06-03,1.7787213021,"Taux spot, échéance à 1 an"
2025-06-03,2.5938344853,"Taux spot, échéance à 10 ans"
